Symbol,Name,Price,Momentum(%),ROE(%),MarketCap_M,MA50,Surprise(%),EPS_Growth(%),Momentum_12_1,Status,Reason
SNDK,Sandisk,1716.36,53.45,42.33,260850,1118.53,57.9,272.8,29.7195,BUY (매수 승인 대기),12-1 모멘텀: 2971.95% | Top 5 선정
LITE,Lumentum,1029.15,17.67,30.68,70202,874.61,1.6,334.4,11.2335,BUY (매수 승인 대기),12-1 모멘텀: 1123.35% | Top 5 선정
WDC,Western Digital,563.1,37.96,90.82,188265,408.17,12.7,482.9,7.0599,BUY (매수 승인 대기),12-1 모멘텀: 705.99% | Top 5 선정
STX,Seagate Technology,926.61,45.58,172.59,206573,636.5,15.7,108.3,4.975,BUY (매수 승인 대기),12-1 모멘텀: 497.5% | Top 5 선정
MU,Micron Technology,1064.1,82.77,40.84,1172366,582.19,27.3,756.0,4.3155,BUY (매수 승인 대기),12-1 모멘텀: 431.55% | Top 5 선정
