date,portfolio_value
2024-01-03,111755.62783631675
2024-01-04,111946.96545216555
2024-01-05,112903.6156805605
2024-01-08,117459.84990097728
2024-01-09,119833.8136112374
2024-01-10,123480.12529523805
2024-01-11,125094.32320154397
2024-01-12,125434.53298034283
2024-01-16,126319.9381019685
2024-01-17,125350.9835100161
2024-01-18,127690.30939811167
2024-01-19,130686.1497403537
2024-01-22,131964.0037546842
2024-01-23,131736.3387644006
2024-01-24,132770.56342906127
2024-01-25,132613.6202844163
2024-01-26,132369.3655939764
2024-01-29,135357.04140127543
2024-01-30,135540.12768211553
2024-01-31,132335.57829045755
2024-02-01,134323.61836505833
2024-02-02,142332.58522645512
2024-02-05,144515.58862854677
2024-02-06,143184.22864837275
2024-02-07,148000.0725599791
2024-02-08,149120.00397308762
2024-02-09,150995.49003665417
2024-02-12,149845.09825232235
2024-02-13,149233.07314516217
2024-02-14,152844.57049071317
2024-02-15,152845.2099211815
2024-02-16,152455.9848560304
2024-02-20,149005.99551547167
2024-02-21,144752.25442991988
2024-02-22,155067.54270534692
2024-02-23,154900.40885801893
2024-02-26,156100.36607746038
2024-02-27,155740.8133178304
2024-02-28,154615.37025184828
2024-02-29,156023.7370333316
2024-03-01,160713.75538531004
2024-03-04,162374.5904514836
2024-03-05,159849.70340349563
2024-03-06,165526.68488301965
2024-03-07,168253.7565996759
2024-03-08,163774.70971664108
2024-03-11,158529.89379053726
2024-03-12,164717.10842232907
2024-03-13,163200.04417570092
2024-03-14,160337.44145769338
2024-03-15,158843.78929424201
2024-03-18,160746.05730193434
2024-03-19,159998.50921891362
2024-03-20,161322.13054910945
2024-03-21,161871.9664501777
2024-03-22,163079.58099784155
2024-03-25,162592.41713965812
2024-03-26,161670.7029200183
2024-03-27,160252.73492508393
2024-03-28,159728.4120214566
2024-04-01,159734.77640672293
2024-04-02,159671.2609456955
2024-04-03,161240.73256346944
2024-04-04,157932.7076683017
2024-04-05,161570.96218279682
2024-04-08,160189.22138841596
2024-04-09,158221.593918373
2024-04-10,159105.79868317832
2024-04-11,162435.05159052278
2024-04-12,158726.91812850724
2024-04-15,155414.72409579763
2024-04-16,156114.4377593397
2024-04-17,153080.9704649151
2024-04-18,153081.11952155185
2024-04-19,145483.6347992766
2024-04-22,148028.4914977878
2024-04-23,152227.75273707916
2024-04-24,150498.83256019704
2024-04-25,148776.46706151293
2024-04-26,152847.1870600869
2024-04-29,152184.26633197544
2024-04-30,151333.02084618423
2024-05-01,149480.09085179624
2024-05-02,149143.17490274337
2024-05-03,149816.1343592833
2024-05-06,154502.2178919642
2024-05-07,150780.41834303492
2024-05-08,152376.42181661387
2024-05-09,151794.72667036494
2024-05-10,152551.77445469442
2024-05-13,152309.91255181853
2024-05-14,153963.89796994074
2024-05-15,157759.92780822978
2024-05-16,156252.9891126774
2024-05-17,154531.31498167582
2024-05-20,157031.0910434553
2024-05-21,158380.4021138425
2024-05-22,157885.082251587
2024-05-23,158425.09743452235
2024-05-24,160126.26759721982
2024-05-28,160881.79822994562
2024-05-29,160741.96585793621
2024-05-30,157747.88883377687
2024-05-31,155657.6702502857
2024-06-03,155806.23760923248
2024-06-04,155001.6399870471
2024-06-05,159053.85426730767
2024-06-06,156551.18694730534
2024-06-07,157267.71962385494
2024-06-10,159916.161040692
2024-06-11,158625.55239363087
2024-06-12,161854.7077596105
2024-06-13,162891.62631174625
2024-06-14,161857.6857982088
2024-06-17,164607.3661920544
2024-06-18,166802.35123089177
2024-06-20,163247.12780062077
2024-06-21,161358.9695594373
2024-06-24,158626.07241600842
2024-06-25,161847.88201132242
2024-06-26,160684.91573888093
2024-06-27,160646.6633275225
2024-06-28,159701.5254199597
2024-07-01,160384.66649865298
2024-07-02,160076.8536842995
2024-07-03,162319.23134385323
2024-07-05,160935.7573462897
2024-07-08,162116.4263360426
2024-07-09,163131.1026423075
2024-07-10,165404.20120953966
2024-07-11,160427.86623005354
2024-07-12,162676.75989515043
2024-07-15,162404.2369384117
2024-07-16,159311.87066638458
2024-07-17,150570.84955726884
2024-07-18,147258.151739561
2024-07-19,142672.57082668837
2024-07-22,142670.36334226653
2024-07-23,142970.50883551844
2024-07-24,137925.86998030986
2024-07-25,132724.8018287479
2024-07-26,133730.9980740333
2024-07-29,132530.27539525862
2024-07-30,125170.95486624357
2024-07-31,132353.06744482683
2024-08-01,125926.02298607497
2024-08-02,123071.61608346607
2024-08-05,120961.48682509811
2024-08-06,123255.38208808286
2024-08-07,122582.04034073067
2024-08-08,126613.60685378475
2024-08-09,128116.86530514478
2024-08-12,127731.19097122981
2024-08-13,129972.65151387839
2024-08-14,129964.65232837957
2024-08-15,132126.99920642027
2024-08-16,131432.41661662405
2024-08-19,132498.10316544367
2024-08-20,132346.87242282773
2024-08-21,133059.13459946637
2024-08-22,132325.2589134338
2024-08-23,132630.05514026506
2024-08-26,131863.91052676292
2024-08-27,132079.5632267934
2024-08-28,131480.77477890818
2024-08-29,132147.9292304811
2024-08-30,133632.80784767304
2024-09-03,130131.85619577763
2024-09-04,130409.3156752425
2024-09-05,129165.51777180337
2024-09-06,126954.0264220885
2024-09-09,128301.71301774435
2024-09-10,128630.84657190723
2024-09-11,130092.2674303671
2024-09-12,132134.26476340886
2024-09-13,131810.74228461843
2024-09-16,132398.37332819562
2024-09-17,131125.45111885224
2024-09-18,130926.79884665669
2024-09-19,133042.793410634
2024-09-20,133497.5492864416
2024-09-23,134199.2514393765
2024-09-24,133907.59226600814
2024-09-25,134244.58144288
2024-09-26,134268.5477824762
2024-09-27,132106.98130563452
2024-09-30,133145.53306732644
2024-10-01,132761.32234238126
2024-10-02,134197.6867826734
2024-10-03,134925.74136417947
2024-10-04,137081.08496291822
2024-10-07,137068.31171506
2024-10-08,139110.22961885724
2024-10-09,140586.53309966665
2024-10-10,140393.05576806355
2024-10-11,140656.56260808886
2024-10-14,142076.5697776353
2024-10-15,137860.60976875914
2024-10-16,139583.5455179816
2024-10-17,140930.5331026834
2024-10-18,140752.52650182217
2024-10-21,141253.58510797098
2024-10-22,137830.94615322154
2024-10-23,136165.89053207042
2024-10-24,135947.42957624662
2024-10-25,136078.56904680422
2024-10-28,135909.4766268699
2024-10-29,138108.96766154357
2024-10-30,136616.52545680734
2024-10-31,129023.7491161371
2024-11-01,129236.63751018503
2024-11-04,128597.20370773714
2024-11-05,131878.79578695935
2024-11-06,136123.5950668494
2024-11-07,139401.34687509967
2024-11-08,143688.67420949615
2024-11-11,143330.71530351476
2024-11-12,143612.40463918683
2024-11-13,143141.46643280666
2024-11-14,141513.70806743254
2024-11-15,136726.00309917508
2024-11-18,136364.048384019
2024-11-19,139063.35115052067
2024-11-20,138879.28613832366
2024-11-21,140714.1833179919
2024-11-22,140913.53874125698
2024-11-25,138818.4859866813
2024-11-26,139558.53344696556
2024-11-27,136832.49829119828
2024-11-29,139431.89763338646
2024-12-02,140831.92956091388
2024-12-03,142496.6631978889
